,index,x,y
0,201201BS70001,-0.169101,51.493429
1,201201BS70002,-0.200838,51.517931
2,201201BS70003,-0.188636,51.487618
3,201201BS70004,-0.200259,51.514325
4,201201BS70005,-0.183773,51.497614
5,201201BS70006,-0.185496,51.483253
6,201201BS70007,-0.160418,51.501567
7,201201BS70008,-0.213862,51.523975
8,201201BS70010,-0.161567,51.498077
9,201201BS70011,-0.198587,51.505576
10,201201BS70012,-0.190082,51.502028
11,201201BS70013,-0.204686,51.497037
12,201201BS70014,-0.197303,51.508884
13,201201BS70015,-0.20776,51.51417
14,201201BS70016,-0.20927,51.516082
15,201201BS70017,-0.18022,51.481912
16,201201BS70018,-0.212046,51.511448
17,201201BS70019,-0.173448,51.481986
18,201201BS70020,-0.196947,51.496019
19,201201BS70021,-0.194916,51.507318
20,201201BS70022,-0.197777,51.511499
21,201201BS70023,-0.200249,51.492652
22,201201BS70024,-0.16055,51.491137
23,201201BS70025,-0.180416,51.48785
24,201201BS70026,-0.169814,51.486426
25,201201BS70027,-0.188775,51.502278
26,201201BS70028,-0.185916,51.501694
27,201201BS70029,-0.216922,51.515748
28,201201BS70031,-0.216919,51.515838
29,201201BS70032,-0.18705,51.502161
30,201201BS70033,-0.19117,51.489096
31,201201BS70034,-0.174709,51.493697
32,201201BS70035,-0.209922,51.499455
33,201201BS70036,-0.197613,51.497378
34,201201BS70037,-0.173046,51.495649
35,201201BS70039,-0.175824,51.491016
36,201201BS70041,-0.172593,51.492584
37,201201BS70042,-0.165469,51.497779
38,201201BS70044,-0.206333,51.517475
39,201201BS70045,-0.163857,51.491279
40,201201BS70046,-0.180036,51.479301
41,201201BS70047,-0.211037,51.518806
42,201201BS70048,-0.169792,51.490562
43,201201BS70050,-0.195978,51.495015
44,201201BS70051,-0.166178,51.49806
45,201201BS70052,-0.184297,51.480806
46,201201BS70053,-0.209678,51.516717
47,201201BS70054,-0.184329,51.501759
48,201201BS70055,-0.205004,51.507293
49,201201BS70056,-0.192487,51.488576
50,201201BS70057,-0.185344,51.490714
51,201201BS70058,-0.192704,51.497662
52,201201BS70059,-0.179406,51.491521
53,201201BS70061,-0.214677,51.525246
54,201201BS70063,-0.195132,51.494552
55,201201BS70064,-0.216729,51.528065
56,201201BS70065,-0.209771,51.499633
57,201201BS70066,-0.176936,51.488425
58,201201BS70067,-0.201285,51.491949
59,201201BS70068,-0.200393,51.492655
60,201201BS70069,-0.198705,51.498924
61,201201BS70070,-0.213002,51.50175
62,201201BS70071,-0.159015,51.497048
63,201201BS70072,-0.155861,51.489535
64,201201BS70073,-0.216778,51.515746
65,201201BS70074,-0.167493,51.490437
66,201201BS70075,-0.159012,51.497138
67,201201BS70076,-0.213877,51.505181
68,201201BS70077,-0.195423,51.494467
69,201201BS70078,-0.163518,51.499727
70,201201BS70079,-0.186906,51.502159
71,201201BS70080,-0.183885,51.498425
72,201201BS70081,-0.203032,51.513468
73,201201BS70083,-0.194973,51.487625
74,201201BS70084,-0.221279,51.514915
75,201201BS70085,-0.180152,51.480022
76,201201BS70086,-0.207343,51.510117
77,201201BS70087,-0.173611,51.495928
78,201201BS70088,-0.221683,51.515641
79,201201BS70089,-0.186385,51.482637
80,201201BS70090,-0.221419,51.515007
81,201201BS70091,-0.165732,51.498412
82,201201BS70092,-0.194529,51.498859
83,201201BS70093,-0.181111,51.48849
84,201201BS70094,-0.216336,51.512322
85,201201BS70095,-0.197159,51.508882
86,201201BS70096,-0.205856,51.496605
88,201201BS70098,-0.172625,51.495373
89,201201BS70099,-0.210828,51.505764
90,201201BS70101,-0.16377,51.497033
91,201201BS70102,-0.161288,51.490699
92,201201BS70103,-0.179115,51.495204
93,201201BS70104,-0.188361,51.494538
94,201201BS70105,-0.206003,51.496518
95,201201BS70106,-0.191381,51.494674
96,201201BS70107,-0.162784,51.500075
97,201201BS70108,-0.208593,51.514992
98,201201BS70109,-0.186051,51.494682
99,201201BS70111,-0.186532,51.482549
100,201201BS70112,-0.184312,51.484044
101,201201BS70113,-0.211712,51.519986
102,201201BS70114,-0.198705,51.498924
103,201201BS70115,-0.173445,51.482076
104,201201BS70117,-0.173445,51.482076
105,201201BS70118,-0.159883,51.496972
106,201201BS70119,-0.21199,51.505512
107,201201BS70122,-0.155734,51.49268
108,201201BS70123,-0.173478,51.495656
109,201201BS70124,-0.186248,51.482455
110,201201BS70126,-0.173445,51.482076
111,201201BS70127,-0.212633,51.503813
112,201201BS70128,-0.193832,51.494622
113,201201BS70129,-0.182473,51.494087
114,201201BS70130,-0.159393,51.498403
115,201201BS70131,-0.160559,51.501659
116,201201BS70132,-0.184153,51.480804
117,201201BS70134,-0.19978,51.508203
118,201201BS70136,-0.150108,51.485757
119,201201BS70137,-0.209086,51.506097
120,201201BS70138,-0.163518,51.499727
121,201201BS70139,-0.181811,51.481757
122,201201BS70140,-0.168299,51.484694
123,201201BS70141,-0.205302,51.510715
124,201201BS70142,-0.17708,51.488428
125,201201BS70143,-0.183143,51.495356
126,201201BS70144,-0.182693,51.484918
127,201201BS70147,-0.172139,51.482326
128,201201BS70148,-0.187113,51.486065
129,201201BS70149,-0.205641,51.516745
130,201201BS70150,-0.190949,51.501952
131,201201BS70151,-0.183614,51.483493
132,201201BS70152,-0.204749,51.513764
133,201201BS70153,-0.209811,51.516989
134,201201BS70155,-0.210222,51.521222
135,201201BS70156,-0.209822,51.516719
136,201201BS70157,-0.203136,51.518146
137,201201BS70159,-0.180418,51.495044
138,201201BS70160,-0.15789,51.492804
139,201201BS70161,-0.175946,51.484363
140,201201BS70162,-0.211624,51.522232
141,201201BS70163,-0.205722,51.518365
142,201201BS70164,-0.215766,51.50476
143,201201BS70165,-0.161265,51.494835
144,201201BS70166,-0.190296,51.489352
145,201201BS70167,-0.182876,51.494813
146,201201BS70168,-0.209133,51.5159
147,201201BS70169,-0.165728,51.498502
148,201201BS70172,-0.205856,51.496605
149,201201BS70173,-0.204548,51.518887
150,201201BS70174,-0.182837,51.48492
151,201201BS70175,-0.179482,51.496828
152,201201BS70176,-0.181674,51.481575
153,201201BS70177,-0.209133,51.5159
154,201201BS70179,-0.155861,51.489535
155,201201BS70180,-0.1855,51.483163
156,201201BS70181,-0.181671,51.481665
157,201201BS70182,-0.178904,51.482431
158,201201BS70183,-0.198993,51.498928
159,201201BS70184,-0.223335,51.521331
160,201201BS70185,-0.163857,51.491279
161,201201BS70186,-0.197451,51.508796
162,201201BS70187,-0.185175,51.48046
163,201201BS70188,-0.183904,51.490692
164,201201BS70189,-0.17986,51.480108
165,201201BS70190,-0.191804,51.491264
166,201201BS70191,-0.173629,51.495478
167,201201BS70192,-0.205715,51.496513
168,201201BS70194,-0.184312,51.484044
169,201201BS70195,-0.164551,51.499113
170,201201BS70196,-0.169119,51.496577
171,201201BS70197,-0.182109,51.481492
172,201201BS70199,-0.163374,51.499724
173,201201BS70200,-0.16415,51.483999
174,201201BS70201,-0.17874,51.493759
175,201201BS70202,-0.186385,51.482637
176,201201BS70203,-0.201652,51.508231
177,201201BS70205,-0.166769,51.490515
178,201201BS70206,-0.182615,51.501373
179,201201BS70207,-0.197008,51.490804
180,201201BS70208,-0.159242,51.484282
181,201201BS70209,-0.191669,51.494679
182,201201BS70210,-0.176936,51.488425
183,201201BS70211,-0.220973,51.51536
184,201201BS70213,-0.1944,51.505782
185,201201BS70214,-0.210219,51.517625
186,201201BS70215,-0.197433,51.490991
187,201201BS70216,-0.20496,51.515746
188,201201BS70217,-0.221419,51.515007
189,201201BS70218,-0.204258,51.496941
190,201201BS70219,-0.202381,51.515347
191,201201BS70220,-0.156843,51.49018
192,201201BS70221,-0.186832,51.485881
193,201201BS70222,-0.194905,51.507588
194,201201BS70223,-0.199914,51.508474
195,201201BS70224,-0.150111,51.485667
196,201201BS70225,-0.185496,51.483253
